lat,lon
32.1311754047748,63.5750976127801
32.2599684018449,63.854762406418
32.5285937957339,64.2448211975446
32.0281410071187,63.9577968040741
32.0023824077047,63.9872352034044
32.4108401984127,64.4619293926056
32.3703623993335,64.77471238549
32.2783674014263,65.0506973792117
32.4365987978267,65.9706473582837
32.1790128036865,65.4701945696685
32.2047714031006,64.9844609807185
32.1274956048585,64.9071851824764
32.0759784060305,64.8519881837321
32.0097420075373,64.7931113850715
31.8625500108858,64.7084759869969
31.8036732122251,64.6054415893408
31.8331116115555,64.5612839903453
31.7484762134808,64.4361707931916
31.6859196149039,64.314737395954
31.6160034164945,64.4067323938612
31.6712004152388,64.2485009974609
31.5534468179176,63.9541170041578
31.5902448170804,64.2485009974609
31.5166488187547,64.097629200893
31.4209740209312,64.1049888007256
31.3915356216009,64.0681908015627
30.4458270431148,63.3248712184725
30.5231028413569,63.7811664080923
30.3096744462122,63.611895611943
30.8027676349948,64.1197080003908
30.9941172306418,64.1675453993025
31.1413092272933,64.1969837986328
31.2995406236937,64.2264221979631
31.4945700192569,64.3625747948658
31.6564812155736,64.7047961870806
31.7227176140668,64.7967911849878
32.0391804068676,65.1279731774537
32.1090966052771,65.6137067664038
32.0943774056119,66.0184847571954
31.9619046086255,65.9706473582837
31.6454418158248,66.0148049572792
31.6270428162433,65.7424997634738
31.649121615741,65.7204209639761
31.6528014156573,65.6578643653992
31.5681660175827,65.5989875667386
31.520328618671,65.5695491674083
31.5534468179176,65.4628349698359
31.4614518200103,65.348761172431
31.623363016327,65.0506973792117
30.9646788313114,65.1426923771189
31.1265900276281,65.3781995717613
31.406254821266,65.6468249656503
31.0419546295535,65.782977562553
31.1192304277956,66.2944697509171
30.997797030558,66.408543548322
31.1817870263725,66.5704547446387
