Zone,Precedence,avg_service_times,total_num_requests_serviced,num_requests_serviced_on_time,percent_requests_serviced_on_time
Z1,Priority,1.6400069404724367,900,881,97.88888888888889
Z1,Routine,2.1317962841568763,518,518,100.0
Z1,Urgent,4.229889681418534,390,3,0.7692307692307693
Z2,Priority,1.3426473594524848,849,846,99.64664310954063
Z2,Routine,1.784605345528179,439,439,100.0
Z2,Urgent,2.5612250714773523,391,145,37.084398976982094
Z3,Priority,1.991146460481965,581,551,94.83648881239243
Z3,Routine,2.5932240908868565,349,349,100.0
Z3,Urgent,2.2534745789305632,287,114,39.721254355400696
Z4,Priority,1.0629816915209696,1014,1011,99.70414201183432
Z4,Routine,1.406739754872995,549,549,100.0
Z4,Urgent,3.45133237891672,455,17,3.7362637362637363
Z5,Priority,1.15819162035437,2231,2228,99.8655311519498
Z5,Routine,1.5277705327075042,1176,1176,100.0
Z5,Urgent,2.7018270059402947,1055,327,30.99526066350711
Z6,Priority,1.705931994685557,727,715,98.34938101788171
Z6,Routine,2.3260879992699315,376,376,100.0
Z6,Urgent,3.0535516615319107,338,153,45.26627218934911
